Unnamed: 0,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,customer_id,timestamp
0,67,male,2,own,,little,1169,6,radio/TV,1,2025-09-01 15:34:04.913123
1,22,female,2,own,little,moderate,5951,48,radio/TV,2,2025-09-01 15:34:04.913123
2,49,male,1,own,little,,2096,12,education,3,2025-09-01 15:34:04.913123
3,45,male,2,free,little,little,7882,42,furniture/equipment,4,2025-09-01 15:34:04.913123
4,53,male,2,free,little,little,4870,24,car,5,2025-09-01 15:34:04.913123
5,35,male,1,free,,,9055,36,education,6,2025-09-01 15:34:04.913123
6,53,male,2,own,quite rich,,2835,24,furniture/equipment,7,2025-09-01 15:34:04.913123
7,35,male,3,rent,little,moderate,6948,36,car,8,2025-09-01 15:34:04.913123
8,61,male,1,own,rich,,3059,12,radio/TV,9,2025-09-01 15:34:04.913123
9,28,male,3,own,little,moderate,5234,30,car,10,2025-09-01 15:34:04.913123
10,25,female,2,rent,little,moderate,1295,12,car,11,2025-09-01 15:34:04.913123
11,24,female,2,rent,little,little,4308,48,business,12,2025-09-01 15:34:04.913123
12,22,female,2,own,little,moderate,1567,12,radio/TV,13,2025-09-01 15:34:04.913123
13,60,male,1,own,little,little,1199,24,car,14,2025-09-01 15:34:04.913123
14,28,female,2,rent,little,little,1403,15,car,15,2025-09-01 15:34:04.913123
15,32,female,1,own,moderate,little,1282,24,radio/TV,16,2025-09-01 15:34:04.913123
16,53,male,2,own,,,2424,24,radio/TV,17,2025-09-01 15:34:04.913123
17,25,male,2,own,,little,8072,30,business,18,2025-09-01 15:34:04.913123
18,44,female,3,free,little,moderate,12579,24,car,19,2025-09-01 15:34:04.913123
19,31,male,2,own,quite rich,,3430,24,radio/TV,20,2025-09-01 15:34:04.913123
20,48,male,2,own,little,,2134,9,car,21,2025-09-01 15:34:04.913123
21,44,male,2,rent,quite rich,little,2647,6,radio/TV,22,2025-09-01 15:34:04.913123
22,48,male,1,rent,little,little,2241,10,car,23,2025-09-01 15:34:04.913123
23,44,male,2,own,moderate,moderate,1804,12,car,24,2025-09-01 15:34:04.913123
